QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,54.25624188263314,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,44.63066669577438,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,35.77133748148572,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,42.027540313497354,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,34.782162943733056,False,"two-pointers,string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,49.83607734161715,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,29.428687594937607,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,18.22406545928443,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,57.95597939278508,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,28.604731049496735,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,56.540045406490634,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,66.84182894591504,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,63.25173914417,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,44.21684180071412,False,"string,trie",algorithms
15,3Sum,3sum,Medium,35.762983974970496,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,46.27459037444142,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,62.27533614637684,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,37.037572413535244,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,47.26372702304525,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,41.353424399068466,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,65.66599387176136,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,75.88979109964917,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,54.77053858115909,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,65.77939522939582,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,61.02263273219888,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,58.341521339211496,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,58.724495612282205,False,"array,two-pointers",algorithms
